date,state,pred
2020-10-31T14:59:06Z,Tennessee,0.04
2020-10-31T14:59:06Z,Texas,0.33
2020-10-31T14:59:06Z,Utah,0.03
2020-10-31T14:59:06Z,Vermont,0.97
2020-10-31T14:59:06Z,Virginia,0.93
2020-10-31T14:59:06Z,Washington,0.97
2020-10-31T14:59:06Z,West Virginia,0.03
2020-10-31T14:59:06Z,Wisconsin,0.73
2020-10-31T14:59:06Z,Wyoming,0.03
2020-10-30T14:48:45Z,Alabama,0.04
2020-10-30T14:48:45Z,Alaska,0.12
2020-10-30T14:48:45Z,Arizona,0.59
2020-10-30T14:48:45Z,Arkansas,0.04
2020-10-30T14:48:45Z,California,0.94
2020-10-30T14:48:45Z,Colorado,0.92
2020-10-30T14:48:45Z,Connecticut,0.96
2020-10-30T14:48:45Z,DC,0.98
2020-10-30T14:48:45Z,Delaware,0.96
2020-10-30T14:48:45Z,Florida,0.46
2020-10-30T14:48:45Z,Georgia,0.46
2020-10-30T14:48:45Z,Hawaii,0.96
2020-10-30T14:48:45Z,Idaho,0.03
2020-10-30T14:48:45Z,Illinois,0.95
2020-10-30T14:48:45Z,Indiana,0.06
2020-10-30T14:48:45Z,Iowa,0.39
2020-10-30T14:48:45Z,Kansas,0.04
2020-10-30T14:48:45Z,Kentucky,0.04
2020-10-30T14:48:45Z,Louisiana,0.04
2020-10-30T14:48:45Z,ME-01,0.97
2020-10-30T14:48:45Z,ME-02,0.49
2020-10-30T14:48:45Z,Maine,0.91
2020-10-30T14:48:45Z,Maryland,0.97
2020-10-30T14:48:45Z,Massachusetts,0.97
2020-10-30T14:48:45Z,Michigan,0.74
2020-10-30T14:48:45Z,Minnesota,0.77
2020-10-30T14:48:45Z,Mississippi,0.07
2020-10-30T14:48:45Z,Missouri,0.05
2020-10-30T14:48:45Z,Montana,0.11
2020-10-30T14:48:45Z,NE-01,0.11
2020-10-30T14:48:45Z,NE-02,0.75
2020-10-30T14:48:45Z,NE-03,0.04
2020-10-30T14:48:45Z,Nebraska,0.06
2020-10-30T14:48:45Z,Nevada,0.75
2020-10-30T14:48:45Z,New Hampshire,0.79
2020-10-30T14:48:45Z,New Jersey,0.96
2020-10-30T14:48:45Z,New Mexico,0.91
2020-10-30T14:48:45Z,New York,0.95
2020-10-30T14:48:45Z,North Carolina,0.53
2020-10-30T14:48:45Z,North Dakota,0.03
2020-10-30T14:48:45Z,Ohio,0.32
2020-10-30T14:48:45Z,Oklahoma,0.04
2020-10-30T14:48:45Z,Oregon,0.94
2020-10-30T14:48:45Z,Pennsylvania,0.64
2020-10-30T14:48:45Z,Rhode Island,0.97
2020-10-30T14:48:45Z,South Carolina,0.06
2020-10-30T14:48:45Z,South Dakota,0.05
2020-10-30T14:48:45Z,Tennessee,0.04
2020-10-30T14:48:45Z,Texas,0.33
2020-10-30T14:48:45Z,Utah,0.04
2020-10-30T14:48:45Z,Vermont,0.96
2020-10-30T14:48:45Z,Virginia,0.92
2020-10-30T14:48:45Z,Washington,0.95
2020-10-30T14:48:45Z,West Virginia,0.04
2020-10-30T14:48:45Z,Wisconsin,0.73
2020-10-30T14:48:45Z,Wyoming,0.03
2020-10-29T22:42:51Z,Alabama,0.03
2020-10-29T22:42:51Z,Alaska,0.15
2020-10-29T22:42:51Z,Arizona,0.57
2020-10-29T22:42:51Z,Arkansas,0.04
2020-10-29T22:42:51Z,California,0.94
2020-10-29T22:42:51Z,Colorado,0.91
2020-10-29T22:42:51Z,Connecticut,0.94
2020-10-29T22:42:51Z,DC,0.96
2020-10-29T22:42:51Z,Delaware,0.95
2020-10-29T22:42:51Z,Florida,0.46
2020-10-29T22:42:51Z,Georgia,0.44
2020-10-29T22:42:51Z,Hawaii,0.95
2020-10-29T22:42:51Z,Idaho,0.04
2020-10-29T22:42:51Z,Illinois,0.94
2020-10-29T22:42:51Z,Indiana,0.04
2020-10-29T22:42:51Z,Iowa,0.44
2020-10-29T22:42:51Z,Kansas,0.04
2020-10-29T22:42:51Z,Kentucky,0.04
2020-10-29T22:42:51Z,Louisiana,0.04
2020-10-29T22:42:51Z,ME-01,0.95
2020-10-29T22:42:51Z,ME-02,0.49
2020-10-29T22:42:51Z,Maine,0.89
2020-10-29T22:42:51Z,Maryland,0.95
2020-10-29T22:42:51Z,Massachusetts,0.96
2020-10-29T22:42:51Z,Michigan,0.73
2020-10-29T22:42:51Z,Minnesota,0.79
2020-10-29T22:42:51Z,Mississippi,0.07
2020-10-29T22:42:51Z,Missouri,0.06
2020-10-29T22:42:51Z,Montana,0.11
2020-10-29T22:42:51Z,NE-01,0.07
2020-10-29T22:42:51Z,NE-02,0.74
2020-10-29T22:42:51Z,NE-03,0.04
2020-10-29T22:42:51Z,Nebraska,0.05
2020-10-29T22:42:51Z,Nevada,0.77
2020-10-29T22:42:51Z,New Hampshire,0.76
2020-10-29T22:42:51Z,New Jersey,0.94
2020-10-29T22:42:51Z,New Mexico,0.9
2020-10-29T22:42:51Z,New York,0.94
2020-10-29T22:42:51Z,North Carolina,0.51
2020-10-29T22:42:51Z,North Dakota,0.04
2020-10-29T22:42:51Z,Ohio,0.29
2020-10-29T22:42:51Z,Oklahoma,0.03
2020-10-29T22:42:51Z,Oregon,0.93
2020-10-29T22:42:51Z,Pennsylvania,0.62
2020-10-29T22:42:51Z,Rhode Island,0.95
