date,state,pred,voteshare
2020-10-27,missouri,0.036375,0.459395174125
2020-10-27,mississippi,0.0086,0.4437432739
2020-10-27,montana,0.016875,0.452417066825
2020-10-27,north carolina,0.760475,0.51568146165
2020-10-27,north dakota,0.0,0.37675116917499996
2020-10-27,nebraska,0.00045,0.4172742618
2020-10-27,new hampshire,0.9659,0.541714462475
2020-10-27,new jersey,0.999975,0.596130310825
2020-10-27,new mexico,0.997025,0.5658569304500001
2020-10-27,nevada,0.92295,0.532234403725
2020-10-27,new york,1.0,0.641889292975
2020-10-27,ohio,0.414075,0.49520559127499997
2020-10-27,oklahoma,0.0,0.3695232854
2020-10-27,oregon,0.99995,0.591402267
2020-10-27,pennsylvania,0.932425,0.5321528066
2020-10-27,rhode island,1.0,0.615992036125
2020-10-27,south carolina,0.049325,0.462481320225
2020-10-27,south dakota,0.0001,0.411800354925
2020-10-27,tennessee,0.000525,0.41978394287500004
2020-10-27,texas,0.25795,0.4855634572
2020-10-27,utah,0.0,0.40601825560000004
2020-10-27,virginia,0.994025,0.557287307025
2020-10-27,vermont,1.0,0.675910437175
2020-10-27,washington,1.0,0.6189029246500001
2020-10-27,wisconsin,0.959975,0.5379075649
2020-10-27,west virginia,0.0,0.357665570075
2020-10-27,wyoming,0.0,0.30402239655
2020-10-26,alaska,0.1023,0.469616882775
2020-10-26,alabama,5e-05,0.41031699505
2020-10-26,arkansas,0.000275,0.409098167375
2020-10-26,arizona,0.6992,0.51207334475
2020-10-26,california,1.0,0.6713548532250001
2020-10-26,colorado,0.993175,0.55731112
2020-10-26,connecticut,0.999975,0.6056123803
2020-10-26,District of Columbia,1.0,0.953303999625
2020-10-26,delaware,0.99995,0.60560547705
2020-10-26,florida,0.780275,0.516851993
2020-10-26,georgia,0.515925,0.500838835825
2020-10-26,hawaii,1.0,0.68608019815
2020-10-26,iowa,0.477775,0.498664797425
2020-10-26,idaho,0.0,0.37263760939999996
2020-10-26,illinois,0.999625,0.58962561485
2020-10-26,indiana,0.0015,0.43173980975000004
2020-10-26,kansas,0.005775,0.44260330155
2020-10-26,kentucky,0.0,0.39867125049999996
2020-10-26,louisiana,0.0103,0.44286393197499996
2020-10-26,massachusetts,1.0,0.66782284105
2020-10-26,maryland,1.0,0.662952721625
2020-10-26,maine,0.996775,0.5634715873
